transaction_id,transaction_date,merchant_name,currency,status,risk_score,gateway_region,user_id,payment_method,amount_usd,high_value_flag,high_risk_flag
T001,2026-03-01,Alpha Mart,INR,captured,62,APAC,U001,UPI,4998,0,0
T002,2026-03-01,Alpha Mart,INR,captured,55,UNKNOWN,U002,Card,2499,0,0
T003,2026-03-01,Beta Stores,INR,captured,71,APAC,U003,NetBanking,6069,1,1
T004,2026-03-02,Beta Stores,INR,failed,68,APAC,U004,Card,1920,0,0
T005,2026-03-02,Alpha Mart,INR,captured,58,UNKNOWN,U001,UPI,4680,0,0
T006,2026-03-02,Beta Stores,INR,captured,64,UNKNOWN,U005,Wallet,3300,0,0
T007,2026-03-02,Alpha Mart,INR,chargeback,83,APAC,U006,Card,5400,1,1
T008,2026-03-03,Beta Stores,INR,captured,59,UNKNOWN,U007,UPI,4114,0,0
T009,2026-03-03,Alpha Mart,INR,captured,46,APAC,U002,Wallet,1512.5,0,0
T010,2026-03-03,Beta Stores,INR,captured,77,UNKNOWN,U003,Card,7381,0,1
T011,2026-03-03,Alpha Mart,INR,failed,0,UNKNOWN,U008,UPI,2359.5,0,0
T012,2026-03-04,Beta Stores,INR,captured,61,APAC,U009,Card,3000,0,0
T013,2026-03-04,Alpha Mart,INR,captured,54,APAC,U010,UPI,3720,0,0
T014,2026-03-04,Beta Stores,INR,captured,73,APAC,U001,NetBanking,5640,1,1
T015,2026-03-04,Alpha Mart,INR,captured,52,UNKNOWN,U002,Card,1560,0,0
T016,2026-03-05,Beta Stores,INR,failed,69,UNKNOWN,U008,Card,2596,0,0
T017,2026-03-05,Beta Stores,INR,failed,72,APAC,U008,Card,2124,0,1
T018,2026-03-05,Beta Stores,INR,chargeback,86,APAC,U008,UPI,1711,0,1
T019,2026-03-05,Alpha Mart,INR,failed,67,APAC,U008,Wallet,3068,0,0
T020,2026-03-05,Alpha Mart,INR,captured,75,APAC,U005,UPI,6136,1,1
T021,2026-03-06,Beta Stores,INR,captured,63,UNKNOWN,U006,Card,3927,0,0
T022,2026-03-06,Alpha Mart,INR,captured,60,APAC,U007,UPI,4879,0,0
T023,2026-03-01,City Pharma,EUR,captured,42,EU,U003,Card,5616,0,0
T024,2026-03-02,Eco Home,EUR,chargeback,65,EU,U004,Card,6649,1,1
T025,2026-03-03,City Pharma,EUR,captured,38,EU,U005,Wallet,3024,0,0
T026,2026-03-05,Eco Home,EUR,failed,44,EU,U006,NetBanking,3597,0,0
T027,2026-03-01,Delta Travels,USD,captured,49,US,U007,Card,7200,1,0
T028,2026-03-02,Delta Travels,USD,captured,41,US,U008,Card,3100,0,0
T029,2026-03-04,Delta Travels,USD,chargeback,58,US,U009,Wallet,2500,0,1
T030,2026-03-06,Delta Travels,USD,failed,47,US,U010,UPI,1800,0,0
