rate_date,currency,usd_rate,lookup_key
01-03-2026,INR,0.0119,2026-03-01_INR
01-03-2026,EUR,1.08,2026-03-01_EUR
01-03-2026,USD,1,2026-03-01_USD
02-03-2026,INR,0.012,2026-03-02_INR
02-03-2026,EUR,1.09,2026-03-02_EUR
02-03-2026,USD,1,2026-03-02_USD
03-03-2026,INR,0.0121,2026-03-03_INR
03-03-2026,EUR,1.08,2026-03-03_EUR
03-03-2026,USD,1,2026-03-03_USD
04-03-2026,INR,0.012,2026-03-04_INR
04-03-2026,EUR,1.07,2026-03-04_EUR
04-03-2026,USD,1,2026-03-04_USD
05-03-2026,INR,0.0118,2026-03-05_INR
05-03-2026,EUR,1.09,2026-03-05_EUR
05-03-2026,USD,1,2026-03-05_USD
06-03-2026,INR,0.0119,2026-03-06_INR
06-03-2026,EUR,1.08,2026-03-06_EUR
06-03-2026,USD,1,2026-03-06_USD
